_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
126981,196745,6463,DRURY INN AIRPORT POOL,101 RIDGE ROAD,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.43752722,-80.15384177,POOLS (INDOOR),2021-11-17T11:45:00,2021-11-22T12:20:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,,,,,10,,7.4,,,55,t,t,f,t,t,t,
126988,197025,747,COMFORT INN PITTSBURGH EAST SPA,699 RODI ROAD,,Wilkins Township,PITTSBURGH,Allegheny County,PA,15235,40.44329575,-79.82655393,SPA/HOT TUB (INDOOR),2021-12-01T14:35:00,2021-12-06T15:00:00,INITIAL INSPECTION,t,1,ANDERSON IAN,2.2,,0.4,,,,7.6,,,45,t,t,t,t,t,t,12/13/2021
126989,197128,1399,HOME 2 SUITES POOL,8630 DUNCAN AVENUE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.56167424,-80.02703422,POOLS (INDOOR),2021-12-08T15:00:00,2021-12-09T15:40:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,2,,1,,,,7.4,,,75,t,t,f,t,t,t,2/15/2022
126993,197229,1212,RESIDENCE INN BY MARRIOTT POOL,3455 WILLIAM PENN HIGHWAY,,Wilkins Township,PITTSBURGH,Allegheny County,PA,15235,40.43124954,-79.81150365,POOLS (INDOOR),2021-12-14T14:00:00,2021-12-15T15:15:00,INITIAL INSPECTION,t,1,ANDERSON IAN,3.6,,0.2,,,,7.4,,,115,t,t,f,t,t,t,5/10/2023
126996,197653,1410,WYNDHAM GRAND PITTSBURGH - SPA,600 COMMONWEALTH PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.44174089,-80.00640882,SPA/HOT TUB (INDOOR),2021-12-28T11:00:00,2022-01-14T11:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,12/28/2021
126997,197656,1944,RIVERS CLUB MEN'S SPA,301 GRANT STREET, #411,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.43800708,-79.99861019,SPA/HOT TUB (INDOOR),2021-12-28T12:00:00,2022-01-14T12:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,12/28/2021
126999,197717,69,DUQUESNE UNIVERSITY / INDOOR POOL,1345 VICROY STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15282,,,POOLS (SCHOOLS),2022-01-19T14:15:00,2022-01-19T14:30:00,FOLLOW UP INSPECTION,t,2,MURPHY COLLEEN,,,,,,,,,,,t,t,f,t,t,t,1/19/2022
127000,197739,4943,EMBASSY SUITES POOL,535 SMITHFIELD STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.44140245,-79.9980334,POOLS (INDOOR),2022-01-20T12:30:00,2022-01-20T12:45:00,FOLLOW UP INSPECTION,t,2,MURPHY COLLEEN,,,,,,,,,,,t,t,f,t,t,t,1/20/2022
127001,197866,2366,KEYSTONE OAKS HIGH SCHOOL POOL,1000 KELTON AVENUE,Building & Grounds Dept,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15216,40.38729325,-80.03052896,POOLS (SCHOOLS),2022-01-28T10:50:00,2022-01-28T11:20:00,FOLLOW UP INSPECTION,t,2,WOLFE CURRIER,3.4,3.2,0.2,0.2,,,7.4,7.4,,475,t,t,t,t,t,t,1/31/2022
127002,198000,1399,HOME 2 SUITES POOL,8630 DUNCAN AVENUE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.56167424,-80.02703422,POOLS (INDOOR),2022-02-01T15:00:00,2022-02-09T15:30:00,FOLLOW UP INSPECTION,t,3,NOBBS SCOTT,,,,0.2,,,,,,,t,t,t,t,t,t,2/15/2022
127003,198046,1013,FAIRFIELD INN NEVILLE POOL,5850 GRAND AVENUE,,Neville Township,PITTSBURGH,Allegheny County,PA,15225,40.5137302,-80.13321022,POOLS (INDOOR),2022-02-10T13:15:00,2022-02-11T13:50:00,INITIAL INSPECTION,t,1,LAURIA D. ANTHONY,3,3,3,3,,,8,8,,100,t,t,f,t,t,t,3/23/2022
127005,198293,1007,LA FITNESS PLEASANT HILLS POOL,601 CLAIRTON BOULEVARD,,Pleasant Hills,PITTSBURGH,Allegheny County,PA,15236,40.33221382,-79.94402761,POOLS (INDOOR),2022-02-28T15:00:00,2022-03-01T16:00:00,INITIAL INSPECTION,t,1,CONLEY FAON,4.2,4.2,0.2,0.2,,,7.2,7.2,,0,t,t,t,t,t,t,5/10/2023
127006,198313,9097,COMFORT INN & SUITES NORTH SHORE - POOL,820 E OHIO STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15212,40.45450327,-79.99626917,POOLS (INDOOR),2022-03-02T09:00:00,2022-03-02T10:30:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,2.6,,0.6,,,,7.4,,,75,t,t,t,t,t,t,5/3/2022
127007,198329,2156,PLUM SENIOR HIGH SCHOOL POOL,900 ELICKER ROAD,,Plum,PITTSBURGH,Allegheny County,PA,15239,40.50742041,-79.76665136,POOLS (SCHOOLS),2022-03-03T09:00:00,2022-03-03T09:10:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,,,,,,,,,,400,t,t,t,t,t,t,3/3/2022
127009,198405,9097,COMFORT INN & SUITES NORTH SHORE - POOL,820 E OHIO STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15212,40.45450327,-79.99626917,POOLS (INDOOR),2022-03-02T10:00:00,2022-03-08T10:19:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,2.6,,0.6,,,,7.4,,,75,t,t,t,t,t,t,3/9/2022
127011,198413,2141,OLYMPIC SWIM CLUB POOL,517 TWIN OAK DRIVE,,Penn Hills,PITTSBURGH,Allegheny County,PA,15235,40.47898714,-79.7904494,POOLS (INDOOR),2022-03-08T11:00:00,2022-03-08T11:15:00,FOLLOW UP INSPECTION,t,4,WILSON ANGELA,,,,,,,7.6,,,375,t,t,t,t,f,t,3/9/2022
127013,198457,1960,PITTSBURGH FRICK SCIENCE & TECHNOLOGY POOL,107 THACKERAY STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.44351037,-79.95768498,POOLS (INDOOR),2022-03-09T09:00:00,2022-03-11T09:50:00,INITIAL INSPECTION,t,1,WILSON ANGELA,2.2,,0,,,,7.4,,,,t,t,f,t,t,t,8/3/2023
127014,195942,9097,COMFORT INN & SUITES NORTH SHORE - POOL,820 E OHIO STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15212,40.45450327,-79.99626917,POOLS (INDOOR),2021-10-15T09:10:00,2021-10-15T09:20:00,FOLLOW UP INSPECTION,t,4,NOBBS SCOTT,,,,0,,,,,,,t,t,t,t,t,t,10/18/2021
127017,196160,5142,COMFORT INN & SUITES PITTSBURGH-POOL,1100 BANKSVILLE ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.4199184,-80.03027139,POOLS (INDOOR),2021-10-20T10:10:00,2021-10-26T10:40:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,6.5,,0.5,,,,7.2,,,,t,t,f,t,f,t,11/24/2021
127018,196238,2025,PGH BRASHEAR HIGH SCHOOL - POOL,590 CRANE AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.41809034,-80.01822688,POOLS (INDOOR),2021-10-26T09:35:00,2021-10-29T10:35:00,INITIAL INSPECTION,f,1,MANOWN MARYANN,4.5,4,0,0,,,7.4,7.4,,675,t,t,t,t,t,t,11/1/2021
127019,196275,2456,VIRGINIA MANSIONS CONDO SPA,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.39232938,-80.07102594,SPA/HOT TUB (INDOOR),2021-11-01T13:45:00,2021-11-02T13:58:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,12/15/2021
127021,196339,1456,MT LEBANON SR HIGH POOL,155 COCHRAN ROAD,,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15228,40.37631927,-80.05088011,POOLS (SCHOOLS),2021-11-02T12:40:00,2021-11-04T13:00:00,INITIAL INSPECTION,f,1,WILSON ANGELA,1.6,1.8,0.2,0,,,7.2,7.4,,880,t,t,t,t,t,t,11/4/2021
127022,196396,2002,JEWISH COMMUNITY CENTER LAP POOL,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.43766873,-79.92390396,POOLS (INDOOR),2021-11-01T14:30:00,2021-11-05T15:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,4.8,4.8,0.2,0.2,,,7.4,7.4,,300,t,t,t,t,t,t,11/5/2021
127023,196556,678,CHATHAM UNIVERSITY  SPA, WOODLAND ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15232,,,SPA/HOT TUB (INDOOR),2021-11-10T09:30:00,2021-11-12T09:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,11/10/2021
127024,196558,677,CHATHAM UNIVERSITY POOL,1 WOODLAND ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15232,40.44893906,-79.92439675,POOLS (INDOOR),2021-11-10T09:45:00,2021-11-12T10:15:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,2.8,,0,,,,7.5,,,90,t,t,t,t,t,t,1/19/2022
127025,196561,2494,CMU / AQUATIC CENTER DIVING POOL,5000 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,,,POOLS (SCHOOLS),2021-11-10T02:45:00,2021-11-12T03:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2,,0,,,,7.5,,,840,t,t,t,t,t,t,11/15/2021
127027,196603,1943,RIVERS CLUB / INDOOR POOL,301 GRANT STREET,Ste 411,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.43800708,-79.99861019,POOLS (INDOOR),2021-11-12T09:00:00,2021-11-15T09:30:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,4,,0,,,,7.6,,,90,t,t,f,t,t,t,1/19/2022
127028,196605,5683,DRURY PLAZA HOTEL POOL-PITTSBURGH,745 GRANT STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4429879,-79.99487458,POOLS (INDOOR),2021-11-12T10:15:00,2021-11-15T10:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,0,,6,,7.6,,,55,t,t,t,t,t,t,11/15/2021
127029,196608,69,DUQUESNE UNIVERSITY / INDOOR POOL,1345 VICROY STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15282,,,POOLS (SCHOOLS),2021-11-12T01:15:00,2021-11-15T01:45:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,2.4,,0,,,,7.5,,,325,t,t,f,t,t,t,1/19/2022
127031,196692,2037,PGH ALLEGHENY K - 5 & 6 - 8 POOL,810 ARCH STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.45323875,-80.00865869,POOLS (SCHOOLS),2021-11-18T13:35:00,2021-11-19T14:00:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,3.4,3.4,0.4,0.2,,,7.4,7.4,,225,t,t,f,t,t,t,11/23/2021
127032,196738,5802,FAIRFIELD INN & SUITES BY MARRIOTT-MCCANDLESS POOL,901 PROVIDENCE BOULEVARD,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.57058542,-80.01890454,POOLS (INDOOR),2021-11-19T15:30:00,2021-11-22T15:40:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,,,,,,,,,t,t,f,t,t,t,11/23/2021
127033,196849,2512,HOSANNA HOUSE POOL,807 WALLACE AVENUE,,Wilkinsburg,PITTSBURGH,Allegheny County,PA,15221,40.44371621,-79.88056849,POOLS (INDOOR),2021-11-29T08:45:00,2021-11-29T09:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,11/30/2021
127034,196866,2509,IMPERIAL HOUSE CONDO SPA,5600 MUNHALL ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.43356647,-79.92644132,SPA/HOT TUB (INDOOR),2021-11-29T10:15:00,2021-11-29T10:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,4,,7.4,,,60,t,t,t,t,t,t,11/30/2021
127035,197091,1140,RESIDENCE INN POOL,574 W GENERAL ROBINSON STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.44799057,-80.00731418,POOLS (INDOOR),2021-12-07T14:30:00,2021-12-08T14:45:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,,,,,,,,,t,t,f,t,t,t,12/9/2021
127036,197134,1963,DITHRIDGE HOUSE - POOL,220 N DITHRIDGE STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.44984052,-79.95200454,POOL (CONDO INDOOR),2021-12-08T11:20:00,2021-12-09T12:15:00,INITIAL INSPECTION,t,1,ANDERSON IAN,,,,,5.6,,7.4,,,,t,t,t,t,t,t,12/13/2021
127037,197212,2456,VIRGINIA MANSIONS CONDO SPA,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.39232938,-80.07102594,SPA/HOT TUB (INDOOR),2021-12-13T10:35:00,2021-12-14T10:37:00,FOLLOW UP INSPECTION,t,4,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,12/15/2021
127038,197454,10018,DOUBLETREE BY HILTON GREEN TREE IN/OUT DOOR POOL,500 MANSFIELD AVENUE,,Green Tree,Pittsburgh,Allegheny County,PA,15205,40.41845909,-80.05961806,POOLS (INDOOR),2021-12-29T10:20:00,2021-12-30T10:28:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,f,t,t,t,1/4/2022
127039,197455,10019,DOUBLETREE BY HILTON GREEN TREE SPA,500 MANSFIELD AVENUE,,Green Tree,Pittsburgh,Allegheny County,PA,15205,40.41845909,-80.05961806,SPA/HOT TUB (INDOOR),2021-12-29T10:15:00,2021-12-30T10:20:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,f,t,t,t,1/4/2022
127040,197532,1399,HOME 2 SUITES POOL,8630 DUNCAN AVENUE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.56167424,-80.02703422,POOLS (INDOOR),2022-01-05T15:00:00,2022-01-06T15:30:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,0.6,,,,,,,,t,t,f,t,t,t,2/15/2022
127043,197714,677,CHATHAM UNIVERSITY POOL,1 WOODLAND ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15232,40.44893906,-79.92439675,POOLS (INDOOR),2022-01-19T13:15:00,2022-01-19T13:30:00,FOLLOW UP INSPECTION,t,2,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,1/19/2022
127045,197865,2366,KEYSTONE OAKS HIGH SCHOOL POOL,1000 KELTON AVENUE,Building & Grounds Dept,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15216,40.38729325,-80.03052896,POOLS (SCHOOLS),2022-01-28T10:50:00,2022-01-28T11:20:00,INITIAL INSPECTION,f,1,WOLFE CURRIER,3.4,3.2,0.2,0.2,,,7.4,7.4,,475,t,t,t,t,t,t,1/28/2022
